idx,brand_name,cos_name,cos_img_src,grade,grade_count,price,vol,ranking,description,category,category_2
1399,라네이처,시그니처 울트라슬림 중형,https://dn5hzapyfrpio.cloudfront.net/product/215/215352b0-4b6d-11ec-a2f2-df6df21b6a1f.jpeg?w=456,4.55,174,7900,12ea,중형생리대 5위 라네이처 2위,소재는 물론 흡수력까지 안심 유기농 순면커버 생리대의 새로운 기준  - 유기농 순면 커버 100% - 북유럽 천연 흡수소재 100% - 에코서트 친환경 섬유 인증,생활용품,여성용품
1400,디어스킨,울트라 슬림 중형 날개형,https://dn5hzapyfrpio.cloudfront.net/home/glowmee/upload/product/20201007/1602032691132.jpg?w=456,4.56,97,7200,16ea,중형생리대 6위 디어스킨 2위,독자적인 에어엠보가 피부에 닿는 면적을 최소화해 피부 답답함을 줄여주는 생리대  - 보송 흡수 샘 가드 - 숨쉬는 통기성 커버,생활용품,여성용품
1401,미샤,개똥쑥 약산성 여성청결제,https://dn5hzapyfrpio.cloudfront.net/product/732/73286440-e50b-11eb-9453-e9fd261a47a2.jpeg?w=456,4.51,312,24000,210ml,여성청결제 3위 미샤 3위,* 본 제품은 타임 레볼루션 개똥쑥 약산성 여성 청결제에서 리뉴얼된 제품입니다.  두 번 자연 발효한 강화 개똥쑥 추출물에 프리비아이오틱스를 더한 젤타입 클렌저  - 민감하고 연약한 여성부피에 진정효과와 건강한 밸런싱 케어 - 3대균 항균케어의 데일리 청결 효과 - 여성피부 ph밸런싱을 돕는 약산성 포뮬러,생활용품,여성용품
1402,쏘피,바디피트 볼록맞춤 슈퍼롱,,4.52,340,7500,10ea,오버나이트 6위 쏘피 3위,번거로운 생리대 뒷정리가 가능한 세계최초 에티켓탭 오버나이트  - 여성의 인체 곡선에 맞는 볼록맞춤 구조로 샘 걱정을 덜어줘 안심 - 안심 힙가드가 힙라인을 넓게 감싸주어 안심숙면 - 피부에 부드러운 순면감촉커버,생활용품,여성용품
1403,멕리듬,스팀 아이마스크 [무향],https://dn5hzapyfrpio.cloudfront.net/product/6a5/6a57d440-714f-11ee-b6f4-e34fef4bd09e.jpeg?w=456,4.54,394,7900,5ea,아이마스크 1위 멕리듬 1위,"포근한 스팀으로 기분을 풀어주는 무향 아이마스크  - 지친 눈에 약 40도의 스팀으로 촉촉하게! - 기존 대비 2배 도톰해진 시트로 눈가 밀착력 UP - 기분 좋은 스팀이 20분정도 지속되며, 온찜질 효과를 주어 긴장감과 피로 해소",생활용품,릴렉싱
1404,스팀베이스,데일리 아이마스크 [밤 공기의 향],,4.36,156,6900,5ea,아이마스크 2위 스팀베이스 3위,* 본 제품은 리뉴얼된 제품입니다.  차분하게 내려앉은 밤 공기의 향으로 깊은 수면을 도와주는 아이마스크  - 따뜻하고 풍부한 온천수 스팀 - 눈을 가장 편안하게 해주는 40℃의 온도,생활용품,릴렉싱
1405,휴족시간,지압자극 쿨링시트,https://dn5hzapyfrpio.cloudfront.net/home/glowmee/upload/20170621/1498035900601.png?w=456,4.24,594,3900,4ea,레그/풋패치 1위 휴족시간 1위,"릴렉싱 해주는 라벤더, 세이지, 로즈마리, 레몬, 오렌지의 5가지 허브 성분으로 편안한 기분을 느낄 수 있는 쿨링 시트",생활용품,릴렉싱
1406,멕리듬,스팀 아이마스크 [라벤더향],https://dn5hzapyfrpio.cloudfront.net/product/e58/e583a8b0-714f-11ee-b6f4-e34fef4bd09e.jpeg?w=456,4.3,60,7900,5ea,아이마스크 3위 멕리듬 2위,포근한 스팀으로 기분을 풀어주는 라벤더향 아이마스크  - 지친 눈에 약 40도의 스팀으로 촉촉하게! - 기존 대비 2배 도톰해진 시트 - 온찜질 효과를 주어 긴장감과 피로 해소,생활용품,릴렉싱
1407,휴족시간,쿨링시트,https://dn5hzapyfrpio.cloudfront.net/product/a41/a41e9540-4b74-11ec-ae70-1bb629487b63.jpeg?w=456,3.91,1853,3900,6ea,레그/풋패치 2위 휴족시간 2위,"릴렉싱 해주는 라벤더, 세이지, 로즈마리, 레몬, 오렌지의 5가지 허브 성분으로 편안한 기분을 느낄 수 있는 쿨링 시트",생활용품,릴렉싱
1408,올리브영,휴족휴면,https://dn5hzapyfrpio.cloudfront.net/home/glowmee/upload/20160415/1460683038177.png?w=456,3.96,170,10500,21ea,레그/풋패치 3위 올리브영 6위,피곤한 다리피로를 한방에 풀어주는 패치,생활용품,릴렉싱
